,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Q,S
0,0,3,1,22.0,1,0,21171,7.25,0,1
1,1,1,0,38.0,1,0,17599,71.2833,0,0
2,1,3,0,26.0,0,0,3101282,7.925,0,1
3,1,1,0,35.0,1,0,113803,53.1,0,1
4,0,3,1,35.0,0,0,373450,8.05,0,1
6,0,1,1,54.0,0,0,17463,51.8625,0,1
7,0,3,1,2.0,3,1,349909,21.075,0,1
8,1,3,0,27.0,0,2,347742,11.1333,0,1
9,1,2,0,14.0,1,0,237736,30.0708,0,0
10,1,3,0,4.0,1,1,9549,16.7,0,1
11,1,1,0,58.0,0,0,113783,26.55,0,1
12,0,3,1,20.0,0,0,2151,8.05,0,1
13,0,3,1,39.0,1,5,347082,31.275,0,1
14,0,3,0,14.0,0,0,350406,7.8542,0,1
15,1,2,0,55.0,0,0,248706,16.0,0,1
16,0,3,1,2.0,4,1,382652,29.125,1,0
18,0,3,0,31.0,1,0,345763,18.0,0,1
20,0,2,1,35.0,0,0,239865,26.0,0,1
21,1,2,1,34.0,0,0,248698,13.0,0,1
22,1,3,0,15.0,0,0,330923,8.0292,1,0
23,1,1,1,28.0,0,0,113788,35.5,0,1
24,0,3,0,8.0,3,1,349909,21.075,0,1
25,1,3,0,38.0,1,5,347077,31.3875,0,1
27,0,1,1,19.0,3,2,19950,263.0,0,1
30,0,1,1,40.0,0,0,17601,27.7208,0,0
33,0,2,1,66.0,0,0,24579,10.5,0,1
34,0,1,1,28.0,1,0,17604,82.1708,0,0
35,0,1,1,42.0,1,0,113789,52.0,0,1
37,0,3,1,21.0,0,0,2152,8.05,0,1
38,0,3,0,18.0,2,0,345764,18.0,0,1
39,1,3,0,14.0,1,0,2651,11.2417,0,0
40,0,3,0,40.0,1,0,7546,9.475,0,1
41,0,2,0,27.0,1,0,11668,21.0,0,1
43,1,2,0,3.0,1,2,2123,41.5792,0,0
44,1,3,0,19.0,0,0,330958,7.8792,1,0
49,0,3,0,18.0,1,0,349237,17.8,0,1
50,0,3,1,7.0,4,1,3101295,39.6875,0,1
51,0,3,1,21.0,0,0,39886,7.8,0,1
52,1,1,0,49.0,1,0,17572,76.7292,0,0
53,1,2,0,29.0,1,0,2926,26.0,0,1
54,0,1,1,65.0,0,1,113509,61.9792,0,0
56,1,2,0,21.0,0,0,31026,10.5,0,1
57,0,3,1,28.5,0,0,2697,7.2292,0,0
58,1,2,0,5.0,1,2,34651,27.75,0,1
59,0,3,1,11.0,5,2,2144,46.9,0,1
60,0,3,1,22.0,0,0,2669,7.2292,0,0
62,0,1,1,45.0,1,0,36973,83.475,0,1
63,0,3,1,4.0,3,2,347088,27.9,0,1
66,1,2,0,29.0,0,0,29395,10.5,0,1
67,0,3,1,19.0,0,0,3464,8.1583,0,1
68,1,3,0,17.0,4,2,3101281,7.925,0,1
69,0,3,1,26.0,2,0,315151,8.6625,0,1
70,0,2,1,32.0,0,0,33111,10.5,0,1
71,0,3,0,16.0,5,2,2144,46.9,0,1
72,0,2,1,21.0,0,0,14879,73.5,0,1
73,0,3,1,26.0,1,0,2680,14.4542,0,0
74,1,3,1,32.0,0,0,1601,56.4958,0,1
75,0,3,1,25.0,0,0,348123,7.65,0,1
78,1,2,1,0.83,0,2,248738,29.0,0,1
79,1,3,0,30.0,0,0,364516,12.475,0,1
80,0,3,1,22.0,0,0,345767,9.0,0,1
81,1,3,1,29.0,0,0,345779,9.5,0,1
83,0,1,1,28.0,0,0,113059,47.1,0,1
84,1,2,0,17.0,0,0,14885,10.5,0,1
85,1,3,0,33.0,3,0,3101278,15.85,0,1
86,0,3,1,16.0,1,3,6608,34.375,0,1
88,1,1,0,23.0,3,2,19950,263.0,0,1
89,0,3,1,24.0,0,0,343275,8.05,0,1
90,0,3,1,29.0,0,0,343276,8.05,0,1
91,0,3,1,20.0,0,0,347466,7.8542,0,1
92,0,1,1,46.0,1,0,5734,61.175,0,1
93,0,3,1,26.0,1,2,2315,20.575,0,1
94,0,3,1,59.0,0,0,364500,7.25,0,1
96,0,1,1,71.0,0,0,17754,34.6542,0,0
97,1,1,1,23.0,0,1,17759,63.3583,0,0
98,1,2,0,34.0,0,1,231919,23.0,0,1
99,0,2,1,34.0,1,0,244367,26.0,0,1
100,0,3,0,28.0,0,0,349245,7.8958,0,1
102,0,1,1,21.0,0,1,35281,77.2875,0,1
103,0,3,1,33.0,0,0,7540,8.6542,0,1
104,0,3,1,37.0,2,0,3101276,7.925,0,1
105,0,3,1,28.0,0,0,349207,7.8958,0,1
106,1,3,0,21.0,0,0,343120,7.65,0,1
108,0,3,1,38.0,0,0,349249,7.8958,0,1
110,0,1,1,47.0,0,0,110465,52.0,0,1
111,0,3,0,14.5,1,0,2665,14.4542,0,0
112,0,3,1,22.0,0,0,324669,8.05,0,1
113,0,3,0,20.0,1,0,4136,9.825,0,1
114,0,3,0,17.0,0,0,2627,14.4583,0,0
116,0,3,1,70.5,0,0,370369,7.75,1,0
117,0,2,1,29.0,1,0,11668,21.0,0,1
118,0,1,1,24.0,0,1,17558,247.5208,0,0
119,0,3,0,2.0,4,2,347082,31.275,0,1
120,0,2,1,21.0,2,0,14879,73.5,0,1
122,0,2,1,32.5,1,0,237736,30.0708,0,0
123,1,2,0,32.5,0,0,27267,13.0,0,1
124,0,1,1,54.0,0,1,35281,77.2875,0,1
125,1,3,1,12.0,1,0,2651,11.2417,0,0
127,1,3,1,24.0,0,0,17369,7.1417,0,1
129,0,3,1,45.0,0,0,347061,6.975,0,1
130,0,3,1,33.0,0,0,349241,7.8958,0,0
131,0,3,1,20.0,0,0,3101307,7.05,0,1
132,0,3,0,47.0,1,0,3337,14.5,0,1
133,1,2,0,29.0,1,0,228414,26.0,0,1
134,0,2,1,25.0,0,0,29178,13.0,0,1
135,0,2,1,23.0,0,0,2133,15.0458,0,0
136,1,1,0,19.0,0,2,11752,26.2833,0,1
137,0,1,1,37.0,1,0,113803,53.1,0,1
138,0,3,1,16.0,0,0,7534,9.2167,0,1
139,0,1,1,24.0,0,0,17593,79.2,0,0
141,1,3,0,22.0,0,0,347081,7.75,0,1
142,1,3,0,24.0,1,0,3101279,15.85,0,1
143,0,3,1,19.0,0,0,365222,6.75,1,0
144,0,2,1,18.0,0,0,231945,11.5,0,1
145,0,2,1,19.0,1,1,33112,36.75,0,1
146,1,3,1,27.0,0,0,350043,7.7958,0,1
147,0,3,0,9.0,2,2,6608,34.375,0,1
148,0,2,1,36.5,0,2,230080,26.0,0,1
149,0,2,1,42.0,0,0,244310,13.0,0,1
150,0,2,1,51.0,0,0,1166,12.525,0,1
151,1,1,0,22.0,1,0,113776,66.6,0,1
152,0,3,1,55.5,0,0,11206,8.05,0,1
153,0,3,1,40.5,0,2,851,14.5,0,1
155,0,1,1,51.0,0,1,17597,61.3792,0,0
156,1,3,0,16.0,0,0,35851,7.7333,1,0
157,0,3,1,30.0,0,0,392090,8.05,0,1
160,0,3,1,44.0,0,1,371362,16.1,0,1
161,1,2,0,40.0,0,0,33595,15.75,0,1
162,0,3,1,26.0,0,0,347068,7.775,0,1
163,0,3,1,17.0,0,0,315093,8.6625,0,1
164,0,3,1,1.0,4,1,3101295,39.6875,0,1
165,1,3,1,9.0,0,2,363291,20.525,0,1
167,0,3,0,45.0,1,4,347088,27.9,0,1
169,0,3,1,28.0,0,0,1601,56.4958,0,1
170,0,1,1,61.0,0,0,111240,33.5,0,1
171,0,3,1,4.0,4,1,382652,29.125,1,0
172,1,3,0,1.0,1,1,347742,11.1333,0,1
174,0,1,1,56.0,0,0,17764,30.6958,0,0
175,0,3,1,18.0,1,1,350404,7.8542,0,1
177,0,1,0,50.0,0,0,17595,28.7125,0,0
178,0,2,1,30.0,0,0,250653,13.0,0,1
182,0,3,1,9.0,4,2,347077,31.3875,0,1
183,1,2,1,1.0,2,1,230136,39.0,0,1
184,1,3,0,4.0,0,2,315153,22.025,0,1
187,1,1,1,45.0,0,0,111428,26.55,0,1
188,0,3,1,40.0,1,1,364849,15.5,1,0
189,0,3,1,36.0,0,0,349247,7.8958,0,1
190,1,2,0,32.0,0,0,234604,13.0,0,1
191,0,2,1,19.0,0,0,28424,13.0,0,1
192,1,3,0,19.0,1,0,350046,7.8542,0,1
193,1,2,1,3.0,1,1,230080,26.0,0,1
194,1,1,0,44.0,0,0,17610,27.7208,0,0
195,1,1,0,58.0,0,0,17569,146.5208,0,0
197,0,3,1,42.0,0,1,4579,8.4042,0,1
199,0,2,0,24.0,0,0,248747,13.0,0,1
200,0,3,1,28.0,0,0,345770,9.5,0,1
202,0,3,1,34.0,0,0,3101264,6.4958,0,1
203,0,3,1,45.5,0,0,2628,7.225,0,0
204,1,3,1,18.0,0,0,3540,8.05,0,1
205,0,3,0,2.0,0,1,347054,10.4625,0,1
206,0,3,1,32.0,1,0,3101278,15.85,0,1
207,1,3,1,26.0,0,0,2699,18.7875,0,0
208,1,3,0,16.0,0,0,367231,7.75,1,0
209,1,1,1,40.0,0,0,112277,31.0,0,0
210,0,3,1,24.0,0,0,3101311,7.05,0,1
211,1,2,0,35.0,0,0,13528,21.0,0,1
212,0,3,1,22.0,0,0,21174,7.25,0,1
213,0,2,1,30.0,0,0,250646,13.0,0,1
215,1,1,0,31.0,1,0,35273,113.275,0,0
216,1,3,0,27.0,0,0,3101283,7.925,0,1
217,0,2,1,42.0,1,0,243847,27.0,0,1
218,1,1,0,32.0,0,0,11813,76.2917,0,0
219,0,2,1,30.0,0,0,14208,10.5,0,1
220,1,3,1,16.0,0,0,392089,8.05,0,1
221,0,2,1,27.0,0,0,220367,13.0,0,1
222,0,3,1,51.0,0,0,21440,8.05,0,1
224,1,1,1,38.0,1,0,19943,90.0,0,1
225,0,3,1,22.0,0,0,4348,9.35,0,1
226,1,2,1,19.0,0,0,751,10.5,0,1
227,0,3,1,20.5,0,0,21173,7.25,0,1
228,0,2,1,18.0,0,0,236171,13.0,0,1
230,1,1,0,35.0,1,0,36973,83.475,0,1
231,0,3,1,29.0,0,0,347067,7.775,0,1
232,0,2,1,59.0,0,0,237442,13.5,0,1
233,1,3,0,5.0,4,2,347077,31.3875,0,1
234,0,2,1,24.0,0,0,29566,10.5,0,1
236,0,2,1,44.0,1,0,26707,26.0,0,1
237,1,2,0,8.0,0,2,31921,26.25,0,1
238,0,2,1,19.0,0,0,28665,10.5,0,1
239,0,2,1,33.0,0,0,1585,12.275,0,1
242,0,2,1,29.0,0,0,14263,10.5,0,1
244,0,3,1,30.0,0,0,2694,7.225,0,0
245,0,1,1,44.0,2,0,19928,90.0,1,0
246,0,3,0,25.0,0,0,347071,7.775,0,1
247,1,2,0,24.0,0,2,250649,14.5,0,1
248,1,1,1,37.0,1,1,11751,52.5542,0,1
249,0,2,1,54.0,1,0,244252,26.0,0,1
251,0,3,0,29.0,1,1,347054,10.4625,0,1
252,0,1,1,62.0,0,0,113514,26.55,0,1
253,0,3,1,30.0,1,0,3336,16.1,0,1
254,0,3,0,41.0,0,2,370129,20.2125,0,1
255,1,3,0,29.0,0,2,2650,15.2458,0,0
257,1,1,0,30.0,0,0,110152,86.5,0,1
258,1,1,0,35.0,0,0,17755,512.3292,0,0
259,1,2,0,50.0,0,1,230433,26.0,0,1
261,1,3,1,3.0,4,2,347077,31.3875,0,1
262,0,1,1,52.0,1,1,110413,79.65,0,1
263,0,1,1,40.0,0,0,112059,0.0,0,1
265,0,2,1,36.0,0,0,17248,10.5,0,1
266,0,3,1,16.0,4,1,3101295,39.6875,0,1
267,1,3,1,25.0,1,0,347083,7.775,0,1
268,1,1,0,58.0,0,1,17582,153.4625,0,1
269,1,1,0,35.0,0,0,17760,135.6333,0,1
272,1,2,0,41.0,0,1,250644,19.5,0,1
273,0,1,1,37.0,0,1,17596,29.7,0,0
275,1,1,0,63.0,1,0,13502,77.9583,0,1
276,0,3,0,45.0,0,0,347073,7.75,0,1
278,0,3,1,7.0,4,1,382652,29.125,1,0
279,1,3,0,35.0,1,1,2673,20.25,0,1
280,0,3,1,65.0,0,0,336439,7.75,1,0
281,0,3,1,28.0,0,0,347464,7.8542,0,1
282,0,3,1,16.0,0,0,345778,9.5,0,1
283,1,3,1,19.0,0,0,10482,8.05,0,1
285,0,3,1,33.0,0,0,349239,8.6625,0,0
286,1,3,1,30.0,0,0,345774,9.5,0,1
287,0,3,1,22.0,0,0,349206,7.8958,0,1
288,1,2,1,42.0,0,0,237798,13.0,0,1
289,1,3,0,22.0,0,0,370373,7.75,1,0
290,1,1,0,26.0,0,0,19877,78.85,0,1
291,1,1,0,19.0,1,0,11967,91.0792,0,0
292,0,2,1,36.0,0,0,2163,12.875,0,0
293,0,3,0,24.0,0,0,349236,8.85,0,1
294,0,3,1,24.0,0,0,349233,7.8958,0,1
296,0,3,1,23.5,0,0,2693,7.2292,0,0
297,0,1,0,2.0,1,2,113781,151.55,0,1
299,1,1,0,50.0,0,1,17558,247.5208,0,0
305,1,1,1,0.92,1,2,113781,151.55,0,1
307,1,1,0,17.0,1,0,17758,108.9,0,0
308,0,2,1,30.0,1,0,3381,24.0,0,0
309,1,1,0,30.0,0,0,17485,56.9292,0,0
310,1,1,0,24.0,0,0,11767,83.1583,0,0
311,1,1,0,18.0,2,2,17608,262.375,0,0
312,0,2,0,26.0,1,1,250651,26.0,0,1
313,0,3,1,28.0,0,0,349243,7.8958,0,1
314,0,2,1,43.0,1,1,13529,26.25,0,1
315,1,3,0,26.0,0,0,347470,7.8542,0,1
316,1,2,0,24.0,1,0,244367,26.0,0,1
317,0,2,1,54.0,0,0,29011,14.0,0,1
318,1,1,0,31.0,0,2,36928,164.8667,0,1
319,1,1,0,40.0,1,1,16966,134.5,0,0
320,0,3,1,22.0,0,0,21172,7.25,0,1
321,0,3,1,27.0,0,0,349219,7.8958,0,1
322,1,2,0,30.0,0,0,234818,12.35,1,0
323,1,2,0,22.0,1,1,248738,29.0,0,1
325,1,1,0,36.0,0,0,17760,135.6333,0,0
326,0,3,1,61.0,0,0,345364,6.2375,0,1
327,1,2,0,36.0,0,0,28551,13.0,0,1
328,1,3,0,31.0,1,1,363291,20.525,0,1
329,1,1,0,16.0,0,1,111361,57.9792,0,0
331,0,1,1,45.5,0,0,113043,28.5,0,1
332,0,1,1,38.0,0,1,17582,153.4625,0,1
333,0,3,1,16.0,2,0,345764,18.0,0,1
336,0,1,1,29.0,1,0,113776,66.6,0,1
337,1,1,0,41.0,0,0,16966,134.5,0,0
338,1,3,1,45.0,0,0,7598,8.05,0,1
339,0,1,1,45.0,0,0,113784,35.5,0,1
340,1,2,1,2.0,1,1,230080,26.0,0,1
341,1,1,0,24.0,3,2,19950,263.0,0,1
342,0,2,1,28.0,0,0,248740,13.0,0,1
343,0,2,1,25.0,0,0,244361,13.0,0,1
344,0,2,1,36.0,0,0,229236,13.0,0,1
345,1,2,0,24.0,0,0,248733,13.0,0,1
346,1,2,0,40.0,0,0,31418,13.0,0,1
348,1,3,1,3.0,1,1,37671,15.9,0,1
349,0,3,1,42.0,0,0,315088,8.6625,0,1
350,0,3,1,23.0,0,0,7267,9.225,0,1
352,0,3,1,15.0,1,1,2695,7.2292,0,0
353,0,3,1,25.0,1,0,349237,17.8,0,1
355,0,3,1,28.0,0,0,345783,9.5,0,1
356,1,1,0,22.0,0,1,113505,55.0,0,1
357,0,2,0,38.0,0,0,237671,13.0,0,1
360,0,3,1,40.0,1,4,347088,27.9,0,1
361,0,2,1,29.0,1,0,2167,27.7208,0,0
362,0,3,0,45.0,0,1,2691,14.4542,0,0
363,0,3,1,35.0,0,0,3101310,7.05,0,1
365,0,3,1,30.0,0,0,7076,7.25,0,1
366,1,1,0,60.0,1,0,110813,75.25,0,0
369,1,1,0,24.0,0,0,17477,69.3,0,0
370,1,1,1,25.0,1,0,11765,55.4417,0,0
371,0,3,1,18.0,1,0,3101267,6.4958,0,1
372,0,3,1,19.0,0,0,323951,8.05,0,1
373,0,1,1,22.0,0,0,17760,135.6333,0,0
374,0,3,0,3.0,3,1,349909,21.075,0,1
376,1,3,0,22.0,0,0,7077,7.25,0,1
377,0,1,1,27.0,0,2,113503,211.5,0,0
378,0,3,1,20.0,0,0,2648,4.0125,0,0
379,0,3,1,19.0,0,0,347069,7.775,0,1
380,1,1,0,42.0,0,0,17757,227.525,0,0
381,1,3,0,1.0,0,2,2653,15.7417,0,0
383,1,1,0,35.0,1,0,113789,52.0,0,1
385,0,2,1,18.0,0,0,14879,73.5,0,1
386,0,3,1,1.0,5,2,2144,46.9,0,1
387,1,2,0,36.0,0,0,27849,13.0,0,1
389,1,2,0,17.0,0,0,1748,12.0,0,0
390,1,1,1,36.0,1,2,113760,120.0,0,1
391,1,3,1,21.0,0,0,350034,7.7958,0,1
392,0,3,1,28.0,2,0,3101277,7.925,0,1
393,1,1,0,23.0,1,0,35273,113.275,0,0
394,1,3,0,24.0,0,2,9549,16.7,0,1
395,0,3,1,22.0,0,0,350052,7.7958,0,1
396,0,3,0,31.0,0,0,350407,7.8542,0,1
397,0,2,1,46.0,0,0,28403,26.0,0,1
398,0,2,1,23.0,0,0,244278,10.5,0,1
399,1,2,0,28.0,0,0,240929,12.65,0,1
401,0,3,1,26.0,0,0,341826,8.05,0,1
402,0,3,0,21.0,1,0,4137,9.825,0,1
403,0,3,1,28.0,1,0,3101279,15.85,0,1
404,0,3,0,20.0,0,0,315096,8.6625,0,1
405,0,2,1,34.0,1,0,28664,21.0,0,1
406,0,3,1,51.0,0,0,347064,7.75,0,1
407,1,2,1,3.0,1,1,29106,18.75,0,1
408,0,3,1,21.0,0,0,312992,7.775,0,1
412,1,1,0,33.0,1,0,19928,90.0,1,0
416,1,2,0,34.0,1,1,28220,32.5,0,1
417,1,2,0,18.0,0,2,250652,13.0,0,1
418,0,2,1,30.0,0,0,28228,13.0,0,1
419,0,3,0,10.0,0,2,345773,24.15,0,1
421,0,3,1,21.0,0,0,13032,7.7333,1,0
422,0,3,1,29.0,0,0,315082,7.875,0,1
423,0,3,0,28.0,1,1,347080,14.4,0,1
424,0,3,1,18.0,1,1,370129,20.2125,0,1
426,1,2,0,28.0,1,0,2003,26.0,0,1
427,1,2,0,19.0,0,0,250655,26.0,0,1
429,1,3,1,32.0,0,0,392078,8.05,0,1
430,1,1,1,28.0,0,0,110564,26.55,0,1
432,1,2,0,42.0,1,0,3085,26.0,0,1
434,0,1,1,50.0,1,0,13507,55.9,0,1
435,1,1,0,14.0,1,2,113760,120.0,0,1
436,0,3,0,21.0,2,2,6608,34.375,0,1
437,1,2,0,24.0,2,3,29106,18.75,0,1
438,0,1,1,64.0,1,4,19950,263.0,0,1
439,0,2,1,31.0,0,0,18723,10.5,0,1
440,1,2,0,45.0,1,1,13529,26.25,0,1
441,0,3,1,20.0,0,0,345769,9.5,0,1
442,0,3,1,25.0,1,0,347076,7.775,0,1
443,1,2,0,28.0,0,0,230434,13.0,0,1
445,1,1,1,4.0,0,2,33638,81.8583,0,1
